nr,id,name,year,type,series_1,series_2,series_3,image
150,HTB46,Donut Drifter,2024,Mainline,Fast Foodie,null,null,https://static.wikia.nocookie.net/hotwheels/images/1/1a/Donut_drifter_green.jpg
150,HTD70,Donut Drifter (2nd Color),2024,Mainline,Fast Foodie,null,null,https://static.wikia.nocookie.net/hotwheels/images/0/0a/HotWheelsDonutDrifter.JPG
151,HTF22,Purple Passion,2024,Mainline,HW Art Cars,Treasure Hunt,null,https://static.wikia.nocookie.net/hotwheels/images/5/5e/ArtPassion.jpg
152,HTB77,King Kuda,2024,Mainline,HW Art Cars,null,null,https://static.wikia.nocookie.net/hotwheels/images/b/be/Mainline_2024_King_Kuda_White_Malaysia_HTB77.jpg
152,HTD73,King Kuda (2nd Color),2024,Mainline,HW Art Cars,null,null,https://static.wikia.nocookie.net/hotwheels/images/a/a3/HTD73.jpg
153,HTB92,Volvo P1800 Gasser,2024,Mainline,HW Reverse Rake,null,null,https://static.wikia.nocookie.net/hotwheels/images/8/8f/HTB92-LOOSE.jpg
153,HTF37,Volvo P1800 Gasser (Super Treasure Hunt),2024,Mainline,HW Reverse Rake,null,null,https://static.wikia.nocookie.net/hotwheels/images/7/76/SuperLicketySplitGasser.jpg
154,HTC06,Rollin' Solo,2024,Mainline,HW Track Champs,null,null,https://static.wikia.nocookie.net/hotwheels/images/8/8c/RollinSoloTrackChampsLoose.jpg
154,HTD93,Rollin' Solo (2nd Color),2024,Mainline,HW Track Champs,null,null,https://static.wikia.nocookie.net/hotwheels/images/e/ef/2024_Rollin_Solo_2.jpg
155,HTC35,'63 Studebaker Champ,2024,Mainline,HW Hot Trucks,null,null,https://static.wikia.nocookie.net/hotwheels/images/0/05/%2763Studebaker.jpg
155,HTD76,'63 Studebaker Champ (2nd Color),2024,Mainline,HW Hot Trucks,null,null,https://static.wikia.nocookie.net/hotwheels/images/0/0d/HTD76.jpg
156,HRY71,Mazda RX-3,2024,Mainline,HW J-Imports,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/e/e4/%27ToonedMazdaRX-3.jpg
156,HTD77,Mazda RX-3 (2nd Color),2024,Mainline,HW J-Imports,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/f/f3/Mainline_2024_Mazda_RX-3_White_Malaysia_HTD77.jpg
157,HTC58,'64 Chevy Chevelle SS,2024,Mainline,Muscle Mania,null,null,https://static.wikia.nocookie.net/hotwheels/images/3/30/Mainline_2024_%2764_Chevy_Chevelle_SS_Red_Malaysia_HTC58.jpg
157,HTD79,'64 Chevy Chevelle SS (2nd Color),2024,Mainline,Muscle Mania,null,null,https://static.wikia.nocookie.net/hotwheels/images/f/f6/HTD79.jpg
158,HRY73,Porsche 904 Carrera GTS,2024,Mainline,HW Exotics,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/c/c2/Porsche904.jpg
158,HTD94,Porsche 904 Carrera GTS (2nd Color),2024,Mainline,HW Exotics,New for 2024!,null,https://static.wikia.nocookie.net/hotwheels/images/3/3d/HTD94.jpg
159,HTF23,Honda Super Cub Custom,2024,Mainline,HW Metro,Treasure Hunt,null,https://static.wikia.nocookie.net/hotwheels/images/b/bd/HondaMetroBike.jpg
160,HTB19,Total Disposal,2024,Mainline,HW Metro,null,null,https://static.wikia.nocookie.net/hotwheels/images/b/b3/HW-2024-160-HTB19.jpg
160,HTD84,Total Disposal (2nd Color),2024,Mainline,HW Metro,null,null,https://static.wikia.nocookie.net/hotwheels/images/f/ff/Mainline_2024_Total_Disposal_Orange_Malaysia_HTD84.jpg
161,HTB40,'70 Dodge Charger,2024,Mainline,Tooned,null,null,https://static.wikia.nocookie.net/hotwheels/images/4/4f/161_2024_SC_%2770_Dodge_Charger.jpg
161,HTD86,'70 Dodge Charger (2nd Color),2024,Mainline,Tooned,null,null,https://static.wikia.nocookie.net/hotwheels/images/4/4c/Mainline_2024_%2770_Dodge_Charger_MF_Gray_Malaysia_HTD86.jpg
